Org,OrgRef,Compliance,Issues
VMO2 - GoldenTemplate_Enterprise_V00.01,620933798623709892,Un-compliant,IdP Integration: failed
Test3_Organisation,620933798623712606,Un-compliant,Org admins: CustomerROAdmin not found
Test4_Organisation,620933798623712610,Un-compliant,Org admins: CustomerROAdmin not found
Test2_Organisation,620933798623712604,Un-compliant,Org admins: CustomerROAdmin not found
HSBC_Organisation,620933798623712268,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - GoldenTemplate_SDWAN_V00.01,620933798623710852,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - License Holding Org (Adv),620933798623711791,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - Landing Org -do not edit-,620933798623709645,Un-compliant,Org admins: CustomerROAdmin not found
Customer POC,620933798623711317,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - 5G MG Private Betaa,620933798623711299,Un-compliant,Org admins: CustomerROAdmin not found
Customer ACME,620933798623711315,Un-compliant,Org admins: CustomerROAdmin not found
Your org,620933798623712215,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - License Holding Org (Ent),620933798623711790,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - License Holding Org (SDW),620933798623709908,Un-compliant,Org admins: CustomerROAdmin not found
Test_Organization,620933798623712014,Un-compliant,Org admins: CustomerROAdmin not found
Customer 2,620933798623711318,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - RMA Org,620933798623711126,Un-compliant,Org admins: CustomerROAdmin not found
Test5_Organisation,620933798623712644,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - Technical Services,620933798623711073,Un-compliant,IdP Integration: failed
VM02 - Landing Org Managed LAN -do not edit-,620933798623712652,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - Landing Org Managed WIFI - do not edit-,620933798623712653,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - GoldenTemplate_Advanced_V00.01,620933798623710851,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - Test Managed Wifi,620933798623712648,Un-compliant,Org admins: CustomerROAdmin not found
VMO2- Test Managed LAN,620933798623712647,Un-compliant,Org admins: CustomerROAdmin not found
VMO2-SampleMX64-Copy,736338539075077084,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - FieldEngineering,736338539075076910,Un-compliant,Org admins: CustomerROAdmin not found
VMO2 - Sample MX64,736338539075076650,Un-compliant,IdP Integration: failed
VMO2 - SOC-Lab,672162244385047779,Un-compliant,Org admins: CustomerROAdmin not found
